sku,name,barcode_type,barcode_name,barcode_value,brand,description,primary_unit,dimension_unit,width,length,height,weight_unit,weight,inventory_method,unit_cost,retail_price,reorder_threshold,track_by_lot,track_by_exp_date,track_by_handling_unit,skip_inventory_check,shipment_type,inventory_planning,minimum_stock_level,minimum_stock_level_unit,tariff_code,country_code,customs_value,customs_description,is_haz_mat,proper_shipping_name,hazard_class,un_id,packing_group,transport_mode,limited_quantity,contains_lithium,lithium_ion_content_grams,battery_status,battery_count
700-00379,"PACKAGING, DENTAL SET, FLOSS BOX, GD",Other,barcode,70000379,"Quip, NYC Inc","PACKAGING, DENTAL SET, FLOSS BOX, GD",Each,inches,1.25,1.25,8.75,lbs,0.1,FEFO,0.75,1,,TRUE,TRUE,FALSE,FALSE,Domestic,TRUE,4,Week(s) of supply,,US,,,FALSE,,,,,,,,,,
700-00380,"PACKAGING, DENTAL SET, FLOSS BOX, KK",Other,barcode,70000380,"Quip, NYC Inc","PACKAGING, DENTAL SET, FLOSS BOX, KK",Each,inches,1.25,1.25,8.75,lbs,0.1,FEFO,0.45,1,,TRUE,TRUE,FALSE,FALSE,Domestic,TRUE,4,Week(s) of supply,,US,,,FALSE,,,,,,,,,,
700-00381,"PACKAGING, DENTAL SET, FLOSS BOX, SV",Other,barcode,70000381,"Quip, NYC Inc","PACKAGING, DENTAL SET, FLOSS BOX, SV",Each,inches,1.25,1.25,8.75,lbs,0.1,FEFO,4.89,1,,TRUE,TRUE,FALSE,FALSE,Domestic,TRUE,4,Week(s) of supply,,US,,,FALSE,,,,,,,,,,
700-00387,"PACKAGING, DENTAL SET, CORRUGATE, LARGE",Other,barcode,70000387,"Quip, NYC Inc","PACKAGING, DENTAL SET, CORRUGATE, LARGE",Each,inches,9.4,10.2,12.75,lbs,0.1,FEFO,11.96,1,,TRUE,TRUE,FALSE,FALSE,Domestic,TRUE,4,Week(s) of supply,,US,,,FALSE,,,,,,,,,,
700-00388,"PACKAGING, DENTAL SET, CORRUGATE, SMALL",Other,barcode,70000388,"Quip, NYC Inc","PACKAGING, DENTAL SET, CORRUGATE, SMALL",Each,inches,5,5,6,lbs,0.1,FEFO,11.96,1,,TRUE,TRUE,FALSE,FALSE,Domestic,TRUE,4,Week(s) of supply,,US,,,FALSE,,,,,,,,,,
700-00431,"WELCOME PAMPHLET SMART-A, ADULT",Other,barcode,70000431,"Quip, NYC Inc","WELCOME PAMPHLET SMART-A, ADULT",Each,inches,5,5,0.1,lbs,0.20,FIFO,0.48,1,,FALSE,FALSE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,4911.10.0080,CA,$0.18,Paper pamphlet,FALSE,,,,,,,,,,
700-00432,"WELCOME PAMPHLET SMART-A, MOTOR",Other,barcode,70000432,"Quip, NYC Inc","WELCOME PAMPHLET SMART-A, MOTOR",Each,inches,5,5,0.1,lbs,0.20,FIFO,0.93,1,,FALSE,FALSE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,4911.10.0080,CA,$0.09,Paper pamphlet,FALSE,,,,,,,,,,
700-00433,"WELCOME PAMPHLET SMART-A, KIDS",Other,barcode,70000433,"Quip, NYC Inc","WELCOME PAMPHLET SMART-A, KIDS",Each,inches,5,5,0.1,lbs,0.20,FIFO,0.2,1,,FALSE,FALSE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,4911.10.0080,CA,$0.20,Paper pamphlet,FALSE,,,,,,,,,,
700-00536,"REFILL PAMPHLET, UNIVERSAL",Other,barcode,70000536,"Quip, NYC Inc","REFILL PAMPHLET, UNIVERSAL",Each,inches,5,5,0.1,lbs,0.04,FIFO,0.03,1,,FALSE,FALSE,FALSE,FALSE,Domestic,TRUE,4,Week(s) of supply,,CA,,,FALSE,,,,,,,,,,
700-00778,"EVERGREEN MASTER BOX, SMALL",Other,barcode,70000778,"Quip, NYC Inc","EVERGREEN MASTER BOX, SMALL",Each,inches,8.3,4.1,13.2,lbs,0.80,FIFO,14.19,1,,FALSE,FALSE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,4819.10.0040,CA,$1.49,Cardboard shipping box,FALSE,,,,,,,,,,
700-00779,"EVERGREEN MASTER BOX, EXTRA SMALL",Other,barcode,70000779,"Quip, NYC Inc","EVERGREEN MASTER BOX, EXTRA SMALL",Each,inches,8.3,2.2,13,lbs,0.20,FIFO,14.19,1,,FALSE,FALSE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,4819.10.0040,CA,$0.99,Cardboard shipping box,FALSE,,,,,,,,,,
700-00821,RECHARGE SMART PAMPHLET,Other,barcode,70000821,"Quip, NYC Inc",RECHARGE SMART PAMPHLET,Each,inches,5,5,0.1,lbs,0.20,FIFO,28.67,1,,FALSE,FALSE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,4911.10.0080,CA,$0.34,Paper pamphlet,FALSE,,,,,,,,,,
700-00822,RECHARGE NON-SMART PAMPHLET,Other,barcode,70000822,"Quip, NYC Inc",RECHARGE NON-SMART PAMPHLET,Each,inches,5,5,0.1,lbs,0.20,FIFO,9.93,1,,FALSE,FALSE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,4911.10.0080,CA,$0.51,Paper pamphlet,FALSE,,,,,,,,,,
700-00885,"TAPE, PACKAGING, EVERGREEN",Other,barcode,70000885,"Quip, NYC Inc","TAPE, PACKAGING, EVERGREEN",Each,inches,5,5,0.1,lbs,0.04,FIFO,27.64,1,,FALSE,FALSE,FALSE,FALSE,Domestic,TRUE,4,Week(s) of supply,,US,,,FALSE,,,,,,,,,,
700-00932,"PACKAGING, DENTAL SET, TOOTHBRUSH BOX, SMART, ALL WHITE",Other,barcode,70000932,"Quip, NYC Inc","PACKAGING, DENTAL SET, TOOTHBRUSH BOX, SMART, ALL WHITE",Each,inches,1.25,1.25,8.75,lbs,0.04,FEFO,4.4,1,,TRUE,TRUE,FALSE,FALSE,Domestic,TRUE,4,Week(s) of supply,,US,,,FALSE,,,,,,,,,,
700-00966,"PACKAGING, DTC, REFILL PAMPHLET, UNIVERSAL",Other,barcode,70000966,"Quip, NYC Inc","PACKAGING, DTC, REFILL PAMPHLET, UNIVERSAL",Each,inches,5,5,0.1,lbs,0.01,FIFO,6.36,1,,FALSE,FALSE,FALSE,FALSE,Domestic,TRUE,4,Week(s) of supply,,CA,,,FALSE,,,,,,,,,,
700-00978,"WELCOME PAMPHLET, STRAND, DTC, PTFE",Other,barcode,70000978,"Quip, NYC Inc","WELCOME PAMPHLET, STRAND, DTC, PTFE",Each,inches,5,5,0.1,lbs,0.03,FIFO,8.54,1,,FALSE,FALSE,FALSE,FALSE,Domestic,TRUE,4,Week(s) of supply,,CA,,,FALSE,,,,,,,,,,
700-01015,"FOIL BAG, LARGE, PRIDE 2023",Other,barcode,70001015,"Quip, NYC Inc","FOIL BAG, LARGE, PRIDE 2023",Each,inches,12,2,6,lbs,0.20,FIFO,4.08,1,,FALSE,FALSE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,3923.21.0095,CN,$0.12,Polyfoil packaging,FALSE,,,,,,,,,,
700-01065,MINTS DISPENSER PUCK STICKER,Other,barcode,70001065,"Quip, NYC Inc",MINTS DISPENSER PUCK STICKER,Each,inches,1,5,0.1,lbs,0.01,FIFO,0.01,1,,FALSE,FALSE,FALSE,FALSE,Domestic,TRUE,4,Week(s) of supply,,US,,,FALSE,,,,,,,,,,
700-01068,"DTC Pride Sticker, 2023(Bubble Sticker)",Other,barcode,70001068,"Quip, NYC Inc","DTC Pride Sticker, 2023(Bubble Sticker)",Each,inches,1,5,0.1,lbs,0.01,FIFO,34.14,1,,FALSE,FALSE,FALSE,FALSE,Domestic,TRUE,4,Week(s) of supply,,CN,,,FALSE,,,,,,,,,,
700-01077,"FOIL BAG, LARGE, SHANTELL MARTIN",Other,barcode,70001077,"Quip, NYC Inc","FOIL BAG, LARGE, SHANTELL MARTIN",Each,inches,12,2,6,lbs,0.01,FIFO,2.39,1,,FALSE,FALSE,FALSE,FALSE,Domestic,TRUE,4,Week(s) of supply,,CN,,,FALSE,,,,,,,,,,
700-01078,"INSERT, SHANTELL MARTIN",Other,barcode,70001078,"Quip, NYC Inc","INSERT, SHANTELL MARTIN",Each,inches,12,12,6,lbs,0.01,FIFO,26.03,1,,FALSE,FALSE,FALSE,FALSE,Domestic,TRUE,4,Week(s) of supply,,CA,,,FALSE,,,,,,,,,,
700-01145,"PACKAGING, DENTAL, CTA",Other,barcode,70001145,"Quip, NYC Inc","PACKAGING, DENTAL, CTA",Each,inches,1,5,0.1,lbs,0.01,FIFO,24.64,1,,FALSE,FALSE,FALSE,FALSE,Domestic,TRUE,4,Week(s) of supply,,US,,,FALSE,,,,,,,,,,
700-01146,"PACKAGING, DENTAL, STICKER, WATER FLOSSER, NOT FOR RESELL",Other,barcode,70001146,"Quip, NYC Inc","PACKAGING, DENTAL, STICKER, WATER FLOSSER, NOT FOR RESELL",Each,inches,1,2,0.1,lbs,0.01,FIFO,3.6,1,,FALSE,FALSE,FALSE,FALSE,Domestic,TRUE,4,Week(s) of supply,,US,,,FALSE,,,,,,,,,,
700-01147,"PACKAGING, DENTAL, UNIVERSAL BROCHURE, ADULT",Other,barcode,70001147,"Quip, NYC Inc","PACKAGING, DENTAL, UNIVERSAL BROCHURE, ADULT",Each,inches,1,2,0.1,lbs,0.01,FIFO,0.75,1,,FALSE,FALSE,FALSE,FALSE,Domestic,TRUE,4,Week(s) of supply,,US,,,FALSE,,,,,,,,,,
700-01148,"PACKAGING, DENTAL, ADULT WELCOME PAMPHLET",Other,barcode,70001148,"Quip, NYC Inc","PACKAGING, DENTAL, ADULT WELCOME PAMPHLET",Each,inches,1,2,0.1,lbs,0.01,FIFO,3.6,1,,FALSE,FALSE,FALSE,FALSE,Domestic,TRUE,4,Week(s) of supply,,US,,,FALSE,,,,,,,,,,
700-01149,"PACKAGING, DENTAL, KIDS WELCOME PAMPHLET",Other,barcode,70001149,"Quip, NYC Inc","PACKAGING, DENTAL, KIDS WELCOME PAMPHLET",Each,inches,1,2,0.1,lbs,0.01,FIFO,2.65,1,,FALSE,FALSE,FALSE,FALSE,Domestic,TRUE,4,Week(s) of supply,,US,,,FALSE,,,,,,,,,,
700-01150,"PACKAGING, DENTAL, STICKER, GUM 30 CT, NOT FOR RESELL",Other,barcode,70001150,"Quip, NYC Inc","PACKAGING, DENTAL, STICKER, GUM 30 CT, NOT FOR RESELL",Each,inches,1,2,0.1,lbs,0.01,FIFO,3.6,1,,FALSE,FALSE,FALSE,FALSE,Domestic,TRUE,4,Week(s) of supply,,US,,,FALSE,,,,,,,,,,
700-01151,"PACKAGING, DENTAL, STICKER, MINTS 30 CT, NOT FOR RESELL",Other,barcode,70001151,"Quip, NYC Inc","PACKAGING, DENTAL, STICKER, MINTS 30 CT, NOT FOR RESELL",Each,inches,1,2,0.1,lbs,0.01,FIFO,3.6,1,,FALSE,FALSE,FALSE,FALSE,Domestic,TRUE,4,Week(s) of supply,,US,,,FALSE,,,,,,,,,,
700-01157,"PACKAGING, DENTAL, UNIVERSAL BROCHURE, KIDS",Other,barcode,70001157,"Quip, NYC Inc","PACKAGING, DENTAL, UNIVERSAL BROCHURE, KIDS",Each,inches,1,2,0.1,lbs,0.01,FIFO,9.77,1,,FALSE,FALSE,FALSE,FALSE,Domestic,TRUE,4,Week(s) of supply,,US,,,FALSE,,,,,,,,,,
700-01158,"PACKAGING, DENTAL, STICKER, GAIR, NOT FOR RESELL",Other,barcode,70001158,"Quip, NYC Inc","PACKAGING, DENTAL, STICKER, GAIR, NOT FOR RESELL",Each,inches,1,2,0.1,lbs,0.01,FIFO,0.05,1,,FALSE,FALSE,FALSE,FALSE,Domestic,TRUE,4,Week(s) of supply,,US,,,FALSE,,,,,,,,,,
700-01159,"PACKAGING, DENTAL, STICKER, WOCKEFELLER, NOT FOR RESELL",Other,barcode,70001159,"Quip, NYC Inc","PACKAGING, DENTAL, STICKER, WOCKEFELLER, NOT FOR RESELL",Each,inches,1,2,0.1,lbs,0.01,FIFO,0.01,1,,FALSE,FALSE,FALSE,FALSE,Domestic,TRUE,4,Week(s) of supply,,US,,,FALSE,,,,,,,,,,
700-01167,"PACKAGING, UNIVERSAL WELCOME PAMPHLET, OSCILLATING TOOTHBRUSH",Other,barcode,70001167,"Quip, NYC Inc","PACKAGING, UNIVERSAL WELCOME PAMPHLET, OSCILLATING TOOTHBRUSH",Each,inches,5,5,0.1,lbs,0.04,FIFO,0.02,1,,FALSE,FALSE,FALSE,FALSE,Domestic,TRUE,4,Week(s) of supply,,US,,,FALSE,,,,,,,,,,
700-01221,"DTC Pride Insert, 2024",Other,barcode,70001221,"Quip, NYC Inc","DTC Pride Insert, 2024",Each,inches,4,6,0.1,lbs,0.01,FIFO,28.05,1,,FALSE,FALSE,FALSE,FALSE,Domestic,TRUE,4,Week(s) of supply,,US,,,FALSE,,,,,,,,,,
700-01246,2x2 POLY BAG,Other,barcode,70001246,"Quip, NYC Inc",2x2 POLY BAG,Each,inches,1,1,0.1,lbs,0.01,FIFO,0.99,1,,FALSE,FALSE,FALSE,FALSE,Domestic,TRUE,4,Week(s) of supply,,US,,,FALSE,,,,,,,,,,
700-01382,"OVERSTICKER, SONIC ULTRA, STARTER FOP, NEW",Other,barcode,70001382,"Quip, NYC Inc","OVERSTICKER, SONIC ULTRA, STARTER FOP, NEW",Each,inches,1,2,0.1,lbs,0.01,FIFO,0.12,1,,FALSE,FALSE,FALSE,FALSE,Domestic,TRUE,4,Week(s) of supply,,US,,,FALSE,,,,,,,,,,
700-01383,"OVERSTICKER, SONIC ULTRA, STARTER FOP, LESS WASTE",Other,barcode,70001383,"Quip, NYC Inc","OVERSTICKER, SONIC ULTRA, STARTER FOP, LESS WASTE",Each,inches,1,2,0.1,lbs,0.01,FIFO,0.05,1,,FALSE,FALSE,FALSE,FALSE,Domestic,TRUE,4,Week(s) of supply,,US,,,FALSE,,,,,,,,,,
700-01384,"OVERSTICKER, SONIC ULTRA, STARTER BOP, BLANK",Other,barcode,70001384,"Quip, NYC Inc","OVERSTICKER, SONIC ULTRA, STARTER BOP, BLANK",Each,inches,1,2,0.1,lbs,0.01,FIFO,0.11,1,,FALSE,FALSE,FALSE,FALSE,Domestic,TRUE,4,Week(s) of supply,,US,,,FALSE,,,,,,,,,,
700-01385,"OVERSTICKER, SONIC ULTRA, REFILL BOP, BLANK",Other,barcode,70001385,"Quip, NYC Inc","OVERSTICKER, SONIC ULTRA, REFILL BOP, BLANK",Each,inches,1,2,0.1,lbs,0.01,FIFO,0.41,1,,FALSE,FALSE,FALSE,FALSE,Domestic,TRUE,4,Week(s) of supply,,US,,,FALSE,,,,,,,,,,
830-00003,COVER ASSY,Other,barcode,83000003,"Quip, NYC Inc",COVER ASSY,Each,inches,0.25,4,0.25,lbs,0.20,FEFO,0.61,1,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,3924.90.5650,CN,$0.61,Plastic tubing,FALSE,,,,,,,,,,
830-00025,"COVER ASSY, BLACK",Other,barcode,83000025,"Quip, NYC Inc","COVER ASSY, BLACK",Each,inches,0.25,4,0.25,lbs,0.20,FEFO,9.21,1,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,3924.90.5650,CN,$0.67,Plastic tubing,FALSE,,,,,,,,,,
830-00097,"COVER ASSY, YELLOW",Other,barcode,83000097,"Quip, NYC Inc","COVER ASSY, YELLOW",Each,inches,0.25,4,0.25,lbs,0.20,FEFO,0.55,1,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,3924.90.5650,CN,$0.58,Plastic tubing,FALSE,,,,,,,,,,
830-00132,"COVER ASSY, PINK",Other,barcode,83000132,"Quip, NYC Inc","COVER ASSY, PINK",Each,inches,0.25,4,0.25,lbs,0.20,FEFO,0.75,1,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,3924.90.5650,CN,$0.75,Plastic tubing,FALSE,,,,,,,,,,
830-00155,"COVER ASSY, SMART-A, ALL-PINK",Other,barcode,83000155,"Quip, NYC Inc","COVER ASSY, SMART-A, ALL-PINK",Each,inches,0.25,4,0.25,lbs,0.20,FEFO,0.45,1,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,3924.90.5650,CN,$0.45,Plastic tubing,FALSE,,,,,,,,,,
830-00228,"RECHARGEABLE COVER ASSY, WHITE",Other,barcode,83000228,"Quip, NYC Inc","RECHARGEABLE COVER ASSY, WHITE",Each,inches,0.25,4,0.25,lbs,0.20,FEFO,#N/A,1,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,3924.90.5650,CN,$0.54,Plastic tubing,FALSE,,,,,,,,,,
830-00229,"RECHARGEABLE COVER ASSY, ALL BLACK",Other,barcode,83000229,"Quip, NYC Inc","RECHARGEABLE COVER ASSY, ALL BLACK",Each,inches,0.25,4,0.25,lbs,0.20,FEFO,9.04,1,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,3924.90.5650,CN,$0.55,Plastic tubing,FALSE,,,,,,,,,,
830-00230,"RECHARGEABLE COVER ASSY, ALL PINK",Other,barcode,83000230,"Quip, NYC Inc","RECHARGEABLE COVER ASSY, ALL PINK",Each,inches,0.25,4,0.25,lbs,0.20,FEFO,8.47,1,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,3924.90.5650,CN,$0.54,Plastic tubing,FALSE,,,,,,,,,,
830-00231,"RECHARGEABLE COVER ASSY, OCEAN BLUE",Other,barcode,83000231,"Quip, NYC Inc","RECHARGEABLE COVER ASSY, OCEAN BLUE",Each,inches,0.25,4,0.25,lbs,0.20,FEFO,#N/A,1,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,3924.90.5650,CN,$0.54,Plastic tubing,FALSE,,,,,,,,,,
830-00232,"RECHARGEABLE COVER ASSY, SKY BLUE",Other,barcode,83000232,"Quip, NYC Inc","RECHARGEABLE COVER ASSY, SKY BLUE",Each,inches,0.25,4,0.25,lbs,0.20,FEFO,0.02,1,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,3924.90.5650,CN,$0.54,Plastic tubing,FALSE,,,,,,,,,,
